TeamNameSpelling,TeamID,,,TEAM,Lower,ID,,,,,,,,,,
a&m-corpus chris,1394,,,Gonzaga,gonzaga,1211,,,Cal St. Bakersfield,cal st. bakersfield,1167,,,Texas A&M-CC,texas a&m-cc,1394
a&m-corpus christi,1394,,,Houston,houston,1222,,,Louisiana Lafayette,louisiana lafayette,1418,,,Abilene Christian,abilene christian,1101
abilene chr,1101,,,Baylor,baylor,1124,,,Tarleton St.,tarleton st.,1470,,,Air Force,air force,1102
abilene christian,1101,,,Michigan,michigan,1276,,,Southeast Missouri St.,southeast missouri st.,1369,,,Akron,akron,1103
abilene-christian,1101,,,Illinois,illinois,1228,,,UT Rio Grande Valley,ut rio grande valley,1410,,,Alabama,alabama,1104
air force,1102,,,Iowa,iowa,1234,,,Louisiana Monroe,louisiana monroe,1419,,,Alabama A&M,alabama a&m,1105
air-force,1102,,,Colorado,colorado,1160,,,Illinois Chicago,illinois chicago,1227,,,Alabama State,alabama state,1106
akron,1103,,,USC,usc,1425,,,St. Francis NY,st. francis ny,1383,,,Albany,albany,1107
alabama,1104,,,Florida St.,florida st.,1199,,,St. Francis PA,st. francis pa,1384,,,Alcorn State,alcorn state,1108
alabama a&m,1105,,,Ohio St.,ohio st.,1326,,,Dixie St.,dixie st.,1469,,,American,american,1110
alabama st,1106,,,Alabama,alabama,1104,,,Texas A&M Corpus Chris,texas a&m corpus chris,1394,,,Appalachian St,appalachian st,1111
alabama st.,1106,,,San Diego St.,san diego st.,1361,,,Tennessee Martin,tennessee martin,1404,,,Arizona,arizona,1112
alabama state,1106,,,Loyola Chicago,loyola chicago,1260,,,Arkansas Pine Bluff,arkansas pine bluff,1115,,,Arizona State,arizona state,1113
alabama-am,1105,,,Connecticut,connecticut,1163,,,Mississippi Valley St.,mississippi valley st.,1290,,,Ark Pine Bluff,ark pine bluff,1115
alabama-birmingham,1412,,,Wisconsin,wisconsin,1458,,,Bethune Cookman,bethune cookman,1126,,,Arkansas,arkansas,1116
alabama-st,1106,,,Tennessee,tennessee,1397,,,Maryland Eastern Shore,maryland eastern shore,1271,,,Arkansas State,arkansas state,1117
alabama-state,1106,,,Texas,texas,1400,,,Arkansas Little Rock,arkansas little rock,1114,,,Army,army,1119
albany,1107,,,Virginia,virginia,1438,,,,,,,,Auburn,auburn,1120
albany (ny),1107,,,Texas Tech,texas tech,1403,,,,,,,,Austin Peay,austin peay,1122
albany ny,1107,,,Villanova,villanova,1437,,,,,,,,Ball State,ball state,1123
albany-ny,1107,,,Creighton,creighton,1166,,,,,,,,Baylor,baylor,1124
alcorn,1108,,,West Virginia,west virginia,1452,,,,,,,,Bellarmine,bellarmine,1468
alcorn st,1108,,,Arizona,arizona,1112,,,,,,,,Belmont,belmont,1125
alcorn st.,1108,,,Arkansas,arkansas,1116,,,,,,,,Bethune-Cookman,bethune-cookman,1126
alcorn state,1108,,,Kansas,kansas,1242,,,,,,,,Binghamton,binghamton,1127
alcorn-state,1108,,,BYU,byu,1140,,,,,,,,Boise State,boise state,1129
alliant international,1109,,,Purdue,purdue,1345,,,,,,,,Boston College,boston college,1130
alliant intl,1109,,,St. Bonaventure,st. bonaventure,1382,,,,,,,,Boston U,boston u,1131
